Manufacturer,Name,Speed,Glide,Turn,Fade,Diameter,Height,RimDepth,RimWidth,Purchase Url
Daredevil,Bighorn,2.1,3.0,0.0,1.0,21.2,2.2,1.6,1.6,https://infinitediscs.com/Daredevil-Bighorn?tag=3c8c6529
Daredevil,Great Horned Owl,2.0,3.0,0.0,1.0,21.2,2.2,1.4,1.0,https://infinitediscs.com/Daredevil-Great-Horned-Owl?tag=3c8c6529
Daredevil,Polar Bear,2.1,3.1,-0.8,1.0,21.2,2.0,1.5,1.0,https://infinitediscs.com/Daredevil-Polar-Bear?tag=3c8c6529
Daredevil,Woodchuck,2.0,3.0,-1.0,0.2,21.3,1.7,1.3,1.7,https://infinitediscs.com/Daredevil-Woodchuck?tag=3c8c6529
Dino-Discs,Allosaurus,12.0,6.0,-2.0,1.0,21.2,1.9,1.1,2.2,https://infinitediscs.com/Dino-Discs-Allosaurus?tag=3c8c6529
Dino-Discs,Pterodactylus,10.0,5.0,-3.3,1.1,21.1,2.0,1.1,1.9,https://infinitediscs.com/Dino-Discs-Pterodactylus?tag=3c8c6529
Dino-Discs,Tyrannosaurus Rex,14.0,5.0,-3.0,2.0,21.1,1.6,1.1,2.5,https://infinitediscs.com/Dino-Discs-Tyrannosaurus-Rex?tag=3c8c6529
Dino-Discs,Spinosaurus,9.0,6.0,-2.0,1.0,21.2,1.4,1.1,2.0,https://infinitediscs.com/Dino-Discs-Spinosaurus?tag=3c8c6529
Dino-Discs,Brachiosaurus,6.0,5.0,-4.5,1.0,21.9,2.0,1.4,1.3,https://infinitediscs.com/Dino-Discs-Brachiosaurus?tag=3c8c6529
Dino-Discs,Brontosaurus,5.0,5.0,-1.0,0.5,22.1,1.7,1.3,1.3,https://infinitediscs.com/Dino-Discs-Brontosaurus?tag=3c8c6529
Dino-Discs,Diplodocus,5.0,5.0,-2.0,0.0,21.8,1.9,1.1,1.5,https://infinitediscs.com/Dino-Discs-Diplodocus?tag=3c8c6529
Dino-Discs,Stegosaurus,4.0,5.0,-3.8,1.9,21.8,2.0,1.4,1.2,https://infinitediscs.com/Dino-Discs-Stegosaurus?tag=3c8c6529
Dino-Discs,Ankylosaurus,2.0,3.0,-1.0,0.0,21.0,2.1,1.5,1.0,https://infinitediscs.com/Dino-Discs-Ankylosaurus?tag=3c8c6529
Dino-Discs,Triceratops,3.0,3.0,-3.0,1.0,21.0,2.2,1.0,1.0,https://infinitediscs.com/Dino-Discs-Triceratops?tag=3c8c6529
Disc-Golf-UK,The Count,7.0,4.0,-1.0,2.8,21.5,1.7,1.1,1.7,https://infinitediscs.com/Disc-Golf-UK-The-Count?tag=3c8c6529
Disc-Golf-UK,The Baron,4.0,3.0,0.0,2.5,21.2,2.0,1.1,1.6,https://infinitediscs.com/Disc-Golf-UK-The-Baron?tag=3c8c6529
Disc-Golf-UK,The Duchess,5.0,4.0,-2.0,2.0,21.3,1.7,1.1,1.8,https://infinitediscs.com/Disc-Golf-UK-The-Duchess?tag=3c8c6529
Disc-Golf-UK,The Duke,6.0,4.0,0.0,3.5,21.5,1.9,1.4,1.7,https://infinitediscs.com/Disc-Golf-UK-The-Duke?tag=3c8c6529
Discmania,Astronaut,12.0,6.0,-3.8,1.0,21.2,1.8,1.1,2.3,https://infinitediscs.com/Discmania-Astronaut?tag=3c8c6529
Discmania,CD,10.0,4.8,-0.9,2.0,21.2,1.3,1.1,1.9,https://infinitediscs.com/Discmania-CD-Craze?tag=3c8c6529
Discmania,CD3,10.9,5.0,-1.0,2.1,21.1,2.0,1.2,2.1,https://infinitediscs.com/Discmania-CD3?tag=3c8c6529
Discmania,DD,11.1,4.8,0.0,2.1,21.1,1.6,1.2,2.2,https://infinitediscs.com/Discmania-DD-Hysteria?tag=3c8c6529
Discmania,DD2,12.9,4.9,-2.0,2.0,21.2,1.5,1.1,2.5,https://infinitediscs.com/Discmania-DD2-Frenzy?tag=3c8c6529
Discmania,DD3 ,12.0,5.0,-1.0,3.0,21.0,1.8,1.2,2.4,https://infinitediscs.com/Discmania-DD3?tag=3c8c6529
Discmania,DDx,12.0,5.8,-1.1,2.0,21.1,1.7,1.1,2.3,https://infinitediscs.com/Discmania-DDx?tag=3c8c6529
Discmania,Enigma,12.1,5.1,-1.1,2.1,21.1,1.7,1.1,2.3,https://infinitediscs.com/Discmania-Evolution-Enigma?tag=3c8c6529
Discmania,Majesty,13.0,5.0,-1.8,2.2,21.0,1.7,1.2,2.4,https://infinitediscs.com/Discmania-Majesty?tag=3c8c6529
Discmania,Mentor,11.0,5.0,-1.7,2.0,21.0,1.7,1.1,2.1,https://infinitediscs.com/Discmania-Mentor?tag=3c8c6529
Discmania,PD,9.9,4.1,0.0,3.0,21.1,1.7,1.2,1.9,https://infinitediscs.com/Discmania-PD-Freak?tag=3c8c6529
Discmania,PD2,12.0,4.1,0.0,4.0,21.1,1.9,1.2,2.4,https://infinitediscs.com/Discmania-PD2-Chaos?tag=3c8c6529
Discmania,PD3,11.0,3.0,-0.1,5.0,21.2,1.6,1.2,2.3,https://infinitediscs.com/Discmania-PD3?tag=3c8c6529
Discmania,PDx,10.9,4.0,-0.1,3.0,21.1,1.9,1.2,2.1,https://infinitediscs.com/Discmania-PDx?tag=3c8c6529
Discmania,TD,10.0,5.8,-1.8,1.1,21.2,1.6,1.1,1.9,https://infinitediscs.com/Discmania-TD-Rush?tag=3c8c6529
Discmania,TD2 Fever,9.9,5.1,-3.7,1.1,21.1,1.6,1.1,2.1,https://infinitediscs.com/Discmania-TD2-Fever?tag=3c8c6529
Discmania,TDx,9.0,5.0,-2.8,1.1,21.1,1.5,1.2,2.0,https://infinitediscs.com/Discmania-TDx?tag=3c8c6529
Discmania,CD2,9.1,5.0,-1.0,2.0,21.1,1.9,1.1,1.9,https://infinitediscs.com/Discmania-CD2?tag=3c8c6529
Discmania,Essence,8.0,6.0,-2.0,1.1,21.0,1.8,1.2,1.8,https://infinitediscs.com/Discmania-Essence?tag=3c8c6529
Discmania,FD,7.0,5.9,-1.0,1.1,21.2,1.8,1.1,1.8,https://infinitediscs.com/Discmania-FD?tag=3c8c6529
Discmania,FD2,7.0,4.1,0.0,2.1,21.2,1.6,1.1,1.8,https://infinitediscs.com/Discmania-FD2?tag=3c8c6529
Discmania,FD3,9.0,4.1,0.0,3.0,21.2,1.7,1.1,2.0,https://infinitediscs.com/Discmania-FD3?tag=3c8c6529
Discmania,Genius,7.2,4.9,-3.9,1.0,21.3,1.8,1.2,1.9,https://infinitediscs.com/Discmania-Genius?tag=3c8c6529
Discmania,Instinct,7.1,5.2,-0.2,2.0,21.2,1.8,1.1,1.7,https://infinitediscs.com/Discmania-Instinct?tag=3c8c6529
Discmania,Magician,6.1,4.0,0.0,2.0,21.0,1.5,1.1,1.6,https://infinitediscs.com/Discmania-Magician?tag=3c8c6529
Discmania,Rockstar,8.1,5.0,-1.5,1.4,21.3,1.7,1.2,1.9,https://infinitediscs.com/Discmania-Rockstar?tag=3c8c6529
Discmania,Splice,1.0,1.0,0.0,0.0,21.2,1.5,1.1,1.9,https://infinitediscs.com/Discmania-Splice?tag=3c8c6529
Discmania,Tilt,9.0,1.0,0.9,6.0,21.1,1.6,1.2,2.0,https://infinitediscs.com/Discmania-Tilt?tag=3c8c6529
Discmania,Gremlin GM,5.1,4.0,0.0,2.0,21.2,1.8,1.2,1.4,https://infinitediscs.com/Discmania-Gremlin-GM?tag=3c8c6529
Discmania,Logic,3.0,3.0,0.0,1.0,21.2,1.9,1.3,1.1,https://infinitediscs.com/Discmania-Logic?tag=3c8c6529
Discmania,Maestro,4.0,2.9,-0.1,1.9,21.3,1.7,1.3,1.0,https://infinitediscs.com/Discmania-Maestro?tag=3c8c6529
